gene,baseMean,log2FoldChange,pvalue,padj
Gm4951,1226.620967900948,5.8108605729107765,0.0,0.0
Slc11a2,4463.2857269213755,3.1722969988591094,0.0,0.0
Ppp1r15b,9693.171331733078,2.585731175090536,0.0,0.0
Iigp1,3438.186987885596,8.801725266712918,0.0,0.0
Igsf6,9138.967796126793,3.2598804793942144,0.0,0.0
Etv5,1808.5861634666999,-3.9163643415839697,0.0,0.0
Clic4,60125.40637575517,2.938130044658989,0.0,0.0
Ldlrap1,2251.084432018321,-4.95405697549577,0.0,0.0
Nlrp3,13091.033961684385,3.8982289503108656,0.0,0.0
Fgr,1706.8429024406653,4.53928835239256,0.0,0.0
Themis2,11129.497297796252,3.3196285973215107,0.0,0.0
Tnfsf9,1395.9556616758528,4.151164243719066,0.0,0.0
Tlr13,6105.677479277969,-3.2452570545644472,0.0,0.0
Nfil3,1297.6151383152248,4.12465973161233,0.0,0.0
Usp12,5909.4661777639785,2.956592869640029,0.0,0.0
